Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
283010,Akasaka-Minami,Cone of Izu-Tobu,,,,,,,,,,,,,,,,,,,,,,,
283030,Akatsuka,Cone of Fujisan,,,,,,,,,,,,,,,,,,,,,,,
284020,Akazaki-no-mine,Dome of Niijima,,,,,,,,,,,,,,,,,,,,,,,
283010,Akazawa-kaikyu,Submarine cone of Izu-Tobu,,,,,,,,,,,,,,,,,,,,,,,
390050,Akerlundh,Cone of Seal Nunataks Group,,,,,,,,,,,,,,,,,,,,,,,
303040,Akhat,Cone of Dariganga Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
300280,Akhlan,Synonym of Ichinsky,,,,,,,,,,,,,,,,,,,,,,,
300060,Akhomten,Cone of Mutnovsky,,,,,,,,,,,,,,,,,,,,,,,
300320,Akhtang,Shield,Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,55.43,158.65,1956,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,0,0,93,9232
343010,Akhuachapán,Synonym of Playón de Ahuachapán,,,,,,,,,,,,,,,,,,,,,,,
290100,Aki,Synonym of Menshoi Brat,,,,,,,,,,,,,,,,,,,,,,,
222052,Akiloset Springs,Hot Spring of Silali,,,,,,,,,,,,,,,,,,,,,,,
332020,Akimoana,Submarine cone of Mauna Loa,,,,,,,,,,,,,,,,,,,,,,,
283220,Akita-Fuji,Synonym of Chokaisan,,,,,,,,,,,,,,,,,,,,,,,
283230,Akita-Komagatake,Stratovolcano(es),1971,Japan,"Japan, Taiwan, Marianas",Honshu,39.761,140.799,1637,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,376,3864,216708,2521611
283230,Akita-Komaga-take,Synonym of Akita-Komagatake,,,,,,,,,,,,,,,,,,,,,,,
283260,Akita-Yakeyama,Stratovolcano,1997,Japan,"Japan, Taiwan, Marianas",Honshu,39.964,140.757,1366,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,127,721,55493,3122037
283260,Akita-Yake-yama,Synonym of Akita-Yakeyama,,,,,,,,,,,,,,,,,,,,,,,
300060,Akkktivnaya Voronka,Crater of Mutnovsky,,,,,,,,,,,,,,,,,,,,,,,
271020,Akmoan,Thermal of Matutum,,,,,,,,,,,,,,,,,,,,,,,
257070,"Akoma, Tavani",Cone of Kuwae,,,,,,,,,,,,,,,,,,,,,,,
302030,Aku,Cone of Udokan Plateau,,,,,,,,,,,,,,,,,,,,,,,
282022,Akusekijima,Stratovolcano(es),Unknown,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,29.465,129.594,555,Subduction zone / Oceanic crust (< 15 km),Evidence Uncertain,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,52,52,199,749
311320,Akutan,Stratovolcano,1992,United States,Alaska,Aleutian Islands,54.134,-165.986,1303,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , ,Dacite,Trachyte / Trachydacite, , , ,0,24,233,4361
231071,Al Wahbah,"Maar of Kishb, Harrat",,,,,,,,,,,,,,,,,,,,,,,
332010,Alae,Former pit crater of Kilauea,,,,,,,,,,,,,,,,,,,,,,,
257030,"Alaembakeo, Vuti",Cone of Ambae,,,,,,,,,,,,,,,,,,,,,,,
214060,Alagey,Synonym of Aragats,,,,,,,,,,,,,,,,,,,,,,,
312140,Alagogshak,Stratovolcano of Martin,,,,,,,,,,,,,,,,,,,,,,,
300240,Alaid,Pyroclastic cone of Tolbachik,,,,,,,,,,,,,,,,,,,,,,,
290390,Alaid,Stratovolcano,2018,Russia,Kuril Islands,Kuril Islands,50.861,155.565,2285,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,0,64,64,2887
284180,Alamagan,Stratovolcano,870,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",17.6,145.83,744,Subduction zone / Crustal thickness unknown,Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,0,0,0,0
263200,Alang,Stratovolcano of Dieng Volcanic Complex,,,,,,,,,,,,,,,,,,,,,,,
214070,Alapars,Dome of Ghegam Ridge,,,,,,,,,,,,,,,,,,,,,,,
231001,"Al-Arab, Djebel","Synonym of Druze, Jabal ad",,,,,,,,,,,,,,,,,,,,,,,
332040,"Alauawa, Puu",Cone of Hualalai,,,,,,,,,,,,,,,,,,,,,,,
221112,Alayta,Shield,1915,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,12.888,40.573,1496,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , , , , , , ,156,925,13459,330411
211004,"Albains, Monts",Synonym of Colli Albani,,,,,,,,,,,,,,,,,,,,,,,
211004,Alban Hills,Synonym of Colli Albani,,,,,,,,,,,,,,,,,,,,,,,
211004,Albano,Maar of Colli Albani,,,,,,,,,,,,,,,,,,,,,,,
211060,"Albano, Monte",Pyroclastic cone of Etna,,,,,,,,,,,,,,,,,,,,,,,
353090,Albany Island,Cone of Santiago,,,,,,,,,,,,,,,,,,,,,,,
273030,Albay Volcano,Synonym of Mayon,,,,,,,,,,,,,,,,,,,,,,,
341060,"Alberca, Cerro de la","Synonym of Pario, Cerro de",,,,,,,,,,,,,,,,,,,,,,,
341060,"Alberca, La",Maar of Michoacan-Guanajuato,,,,,,,,,,,,,,,,,,,,,,,
241020,Albert Park,Cone of Auckland Field,,,,,,,,,,,,,,,,,,,,,,,
