,users,bookmarks,county,state,cal,cal_fat,col,fiber,sodium,carbs,fat,protein,sugar,dabetis,obese
754,1,35,Marlboro,South Carolina,411.74285714285713,185828.57142857145,100.22857142857143,1788.571428571429,622.9142857142857,27825.714285714283,20648.571428571428,26711.42857142857,9214.285714285717,5,3
755,12,573,Marquette,Michigan,323.69109947643983,152520.06980802788,59.97207678883072,2507.853403141361,565.8987783595113,28570.855148342056,16947.120418848168,14726.701570680632,10039.616055846425,3,2
756,26,2385,Marshall,Indiana,322.4972746331237,153201.25786163524,57.45744234800835,1911.1111111111084,458.03354297693915,31457.861635220128,17020.461215932915,11635.05241090146,15025.576519916123,4,2
757,12,137,Martin,Florida,325.78832116788317,152321.16788321163,63.37226277372263,1880.2919708029199,719.6131386861316,28569.343065693432,16924.087591240874,15017.518248175184,12440.14598540146,3,2
758,9,95,Mason,Michigan,317.88421052631577,147273.68421052632,58.30526315789474,2298.9473684210525,464.778947368421,28980.0,16365.263157894737,14122.105263157895,10958.947368421052,4,3
759,2,29,Massac,Illinois,307.6551724137931,139689.6551724138,51.137931034482754,2165.5172413793107,427.7241379310345,30793.103448275866,15513.793103448277,11662.068965517243,9768.965517241379,3,2
760,1,15,Matagorda,Texas,273.33333333333337,125733.33333333336,54.8,1106.6666666666665,450.2,28780.0,13966.666666666668,8700.0,14046.666666666668,4,2
761,14,427,Matanuska-Susitna,Alaska,295.57142857142867,136943.79391100706,58.072599531615936,1900.702576112412,439.70491803278696,27007.728337236535,15216.861826697896,13060.421545667448,10873.536299765809,,
762,2,20,Mathews,Virginia,387.5,155250.0,75.3,2455.0,673.5,33715.0,17260.0,24035.0,10255.0,4,2
763,17,490,Maui,Hawaii,348.61632653061224,171459.1836734694,61.446938775510176,2566.3265306122444,588.4897959183675,29591.836734693883,19053.0612244898,15476.122448979597,11021.020408163267,2,2
764,16,500,Maury,Tennessee,344.526,165538.0,64.33599999999998,2211.8,570.6780000000001,30527.4,18390.2,14658.2,12860.4,4,3
765,1,2,Maverick,Texas,105.0,61000.0,14.0,550.0,61.0,10450.0,6750.0,1350.0,5500.0,3,2
766,2,58,Mayes,Oklahoma,302.2068965517241,149775.8620689655,62.36206896551725,1634.4827586206893,455.89655172413785,24796.55172413793,16632.758620689656,13803.448275862067,8653.448275862067,4,3
767,5,53,McClain,Oklahoma,271.188679245283,122528.30188679244,36.9622641509434,1822.6415094339625,251.0,33960.377358490565,13611.32075471698,4856.603773584906,20143.396226415094,3,2
768,1,61,McCook,South Dakota,332.60655737704917,133540.9836065574,51.983606557377044,1921.3114754098365,443.2295081967213,40086.885245901634,14834.426229508195,10709.83606557377,21421.311475409835,2,2
769,1,28,McCormick,South Carolina,298.2857142857143,137178.57142857142,73.78571428571429,2675.0,454.71428571428567,23460.714285714286,15232.142857142859,17064.285714285714,9067.857142857143,5,3
770,6,27,McCracken,Kentucky,218.44444444444446,101888.88888888886,40.111111111111114,1033.3333333333333,268.2962962962963,21851.85185185185,11311.111111111111,7622.222222222223,10900.0,4,2
771,1,3,McCreary,Kentucky,390.33333333333326,179666.66666666663,57.0,2333.333333333333,1106.6666666666667,31300.0,19933.33333333333,21533.33333333333,3333.333333333333,4,3
772,1,3,McCurtain,Oklahoma,366.0,178000.0,87.33333333333331,3033.333333333333,1057.3333333333333,29600.0,19800.0,17466.666666666668,3600.0,4,3
773,3,25,McDonough,Illinois,381.8,181240.0,69.28,2508.0,569.88,37824.0,20144.0,13924.0,13572.0,2,2
774,4,15,McDowell,Virginia,328.1333333333333,154600.0,66.26666666666667,2333.333333333333,693.2,28826.66666666667,17180.0,15460.0,10233.333333333334,5,3
775,39,1058,McHenry,Illinois,339.3289224952741,161212.66540642714,69.37901701323254,2260.9640831758043,640.5614366729677,27888.374291115302,17913.137996219288,16917.86389413989,10894.139886578452,3,2
776,2,29,McIntosh,Oklahoma,344.0344827586207,187896.55172413788,78.3448275862069,2231.0344827586205,660.8275862068965,19793.103448275866,20882.75862068966,19320.689655172413,5151.7241379310335,4,3
777,6,31,McKean,Pennsylvania,291.83870967741933,138419.35483870967,53.064516129032256,1251.612903225806,382.22580645161287,25377.419354838712,15358.064516129034,13177.419354838708,11751.612903225809,3,2
778,14,310,McLean,North Dakota,335.00645161290316,154370.96774193546,69.31935483870969,2306.1290322580644,628.9580645161287,27939.354838709667,17151.612903225807,17626.774193548386,9762.90322580645,3,2
779,26,1364,McLennan,Texas,325.1253665689149,149417.88856304975,52.54692082111439,2446.0410557184746,436.9992668621702,34807.331378299124,16601.53958944282,10301.17302052785,16395.894428152493,3,3
780,2,15,McLeod,Minnesota,362.13333333333327,177533.33333333328,56.0,2553.333333333333,381.6,39393.333333333336,19760.0,8453.333333333332,19740.0,2,2
781,7,139,McMinn,Tennessee,287.1870503597122,137971.22302158276,50.928057553956855,1858.2733812949639,451.95683453237405,27866.187050359717,15324.460431654676,10543.1654676259,13080.575539568345,4,3
782,1,3,McNairy,Tennessee,616.3333333333334,295333.33333333326,84.66666666666667,1633.333333333333,516.0,72366.66666666669,32800.0,6266.666666666668,52933.33333333334,5,3
783,5,340,McPherson,Kansas,353.89705882352945,169879.4117647059,77.14117647058823,1875.2941176470588,613.7970588235294,29316.470588235286,18876.17647058824,17160.588235294115,11207.058823529416,3,2
784,4,31,Meade,Kentucky,384.6129032258065,187677.41935483876,69.90322580645162,2238.7096774193546,506.0,37316.12903225807,20848.387096774197,13700.0,17154.83870967742,2,2
785,144,5919,Mecklenburg,North Carolina,341.720898800473,167118.26322013835,66.56242608548739,2305.169792194632,602.4455144450081,28720.696063524247,18569.09951005237,15418.44906234162,11214.461902348368,4,2
786,3,28,Mecosta,Michigan,335.10714285714283,141464.2857142857,53.35714285714285,3557.142857142857,556.9642857142857,35150.0,15714.285714285716,13864.285714285714,10439.285714285717,3,2
787,15,437,Medina,Ohio,359.3546910755149,170681.9221967963,73.97940503432494,2532.265446224256,641.8672768878722,28584.439359267733,18965.217391304344,18792.21967963387,9399.313501144166,3,2
788,1,26,Meeker,Minnesota,381.3076923076923,195576.92307692303,81.92307692307692,2142.3076923076924,603.8461538461537,28969.230769230766,21726.92307692308,18003.846153846152,10853.846153846152,2,2
789,1,1,Meigs,Tennessee,142.0,76000.0,3.0,700.0,97.0,15000.0,8500.0,2200.0,11100.0,4,3
790,2,19,Menard,Texas,325.10526315789474,150105.26315789475,45.78947368421053,2605.263157894737,586.6842105263157,36315.78947368421,16663.157894736843,9305.263157894737,18136.84210526316,4,2
791,3,20,Mendocino,California,256.7,126850.0,54.3,2420.0,336.3,24170.0,14100.0,9465.0,10895.0,2,1
792,4,37,Menominee,Michigan,421.7837837837838,193891.89189189192,94.64864864864865,1967.5675675675675,702.7027027027028,35862.16216216216,21554.054054054053,20929.72972972973,11643.243243243245,4,3
793,19,250,Merced,California,323.4,148656.0,62.332,2223.2,555.2959999999998,28892.0,16512.8,15010.0,10098.8,2,3
794,42,1264,Mercer,Illinois,306.7824367088608,136883.7025316456,53.53401898734174,2256.566455696204,471.18354430379753,31558.46518987342,15209.256329113929,11757.120253164561,13682.67405063291,4,3
795,2,6,Meriwether,Georgia,365.83333333333326,186666.66666666663,80.16666666666667,1133.3333333333333,795.3333333333335,18316.666666666668,20733.33333333333,26400.0,7166.666666666666,5,2
796,1,9,Merrick,Nebraska,281.8888888888889,121333.33333333331,35.77777777777778,1633.3333333333335,326.5555555555556,29766.66666666667,13500.0,11266.666666666668,18366.666666666668,3,2
